Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Coal, peat and oil shale",Production (ktoe),1931.4685,2115.3928,1886.5141,1832.8766,2033.9175,2051.5905,1889.5063,2180.568,2094.9357,2144.5393,2631.3425,2201.2075,2012.4636,1834.7945,2153.0936,2483.3142,2287.6393,2349.6356,2660.8739,2239.3252,2104.7433,2133.848,2517.1827,3298.4887,3060.0665,3066.435,2635.7447,1930.8901,1930.0074
"Coal, peat and oil shale",Imports (ktoe),7904.0236,8701.2099,8376.9024,8881.1814,9318.4725,9804.7947,10402.9377,10332.0947,10266.0398,9710.1068,10329.0873,10176.5578,10436.6041,11122.7956,11072.416,10607.5162,10224.1077,11303.561,11812.8517,9076.1311,12109.8825,13683.8364,12251.9565,13351.2664,14670.6591,14846.5685,13672.0983,15094.1775,15077.3357
"Coal, peat and oil shale",Exports (ktoe),0.0,0.0,-3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.26,-4.11,-5.655,-7.53,0.0,0.0,-40.4704,0.0,0.0,0.0,0.0,0.0,-0.4147,-0.4147
"Coal, peat and oil shale",Total energy supply (ktoe),9671.0042,11056.9885,10701.758,11010.8661,11307.2081,11863.3565,12227.1844,12305.7068,12016.3555,12199.7187,13014.7013,12812.6314,12391.9691,12865.0492,13468.1742,12987.6384,12817.175,13591.1645,13733.9014,10980.4936,14468.1937,15448.4499,15296.0633,16483.4638,17530.4798,17682.8248,15921.2404,16779.1376,16417.2087
"Coal, peat and oil shale","Electricity, CHP and heat plants (ktoe)",-1502.8617,-1730.6859,-1736.8784,-1656.4288,-1523.3242,-1748.838,-1784.8123,-2076.8933,-2037.4029,-2895.6423,-3204.7902,-3253.2684,-2516.7477,-2574.6345,-2714.0784,-2856.4221,-3054.3915,-2911.111,-3249.9221,-2583.4206,-3136.7431,-2723.8061,-3603.1951,-5172.868,-6090.8547,-6239.6668,-5997.2385,-5308.0738,-4844.129
"Coal, peat and oil shale","Oil refineries, transformation (ktoe)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coal, peat and oil shale",Total final consumption (ktoe),3667.9275,4344.3191,3965.0537,4170.1232,4373.1054,4452.3487,4796.9312,5038.9194,4860.1137,4930.561,5721.5296,5286.2879,5652.5477,5839.2297,6348.8414,5536.225,5383.2505,6027.5193,6063.3129,4898.0717,7337.209,8324.1161,7980.1283,7617.9695,7557.4422,7716.1596,6676.0947,7700.9664,7957.7983
"Coal, peat and oil shale",Industry (ktoe),3553.274,4222.6545,3916.3189,4114.5485,4297.0107,4385.6589,4630.2069,4817.4753,4670.3045,4793.7615,5579.6002,5149.4884,5531.1382,5664.8104,6174.4221,5376.3407,5233.6261,5880.4599,5914.5434,4755.2872,7194.4245,8202.7066,7863.8487,7497.415,7411.2377,7582.7801,6532.4553,7546.9251,7796.0381
"Coal, peat and oil shale",Transport (ktoe),5.2139,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coal, peat and oil shale",Residential (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
