Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Coal, peat and oil shale",Production (ktoe),2222700.85,2158690.564,2143076.729,2083158.888,2132465.779,2219358.386,2234812.928,2251065.531,2234777.904,2222017.889,2278273.951,2394035.576,2417238.557,2589748.681,2804694.171,2997579.308,3177000.149,3326783.596,3391007.765,3432004.68,3662888.966,3889374.655,3894052.051,3938026.433,3977320.868,3877571.646,3646672.469,3768011.707,3893679.41
"Coal, peat and oil shale",Imports (ktoe),335327.3602,329948.2367,319222.9891,300495.5824,311801.5928,332507.7752,339410.648,357758.1382,359792.0759,359127.0048,409118.5928,427897.1624,443324.9479,473504.7271,510018.396,512939.0235,556216.3623,579843.3373,587667.8922,583383.4601,668702.3623,706911.1309,768487.1466,817682.0632,830239.5872,765185.8835,792218.8999,823705.8007,829289.4479
"Coal, peat and oil shale",Exports (ktoe),-343046.535,-328454.008,-325672.968,-296622.2709,-305643.3751,-338991.3874,-350141.144,-368520.2845,-367509.8317,-365145.5027,-411502.9785,-438231.1258,-436617.8149,-473890.2786,-498161.8552,-528755.1679,-574819.1267,-596837.1597,-599960.5564,-586294.9506,-679281.9736,-736518.6583,-787750.5654,-829960.5662,-841394.4399,-795086.2676,-813142.8341,-852515.817,-879689.2192
"Coal, peat and oil shale",Total energy supply (ktoe),2220586.866,2160777.291,2122882.61,2131798.421,2150011.822,2207669.274,2244249.203,2227646.956,2220003.229,2230214.626,2317134.443,2351114.86,2432522.669,2617789.053,2824127.899,2990600.882,3171942.692,3339148.085,3383357.393,3382105.888,3649798.334,3818920.05,3858776.697,3905763.875,3935364.556,3842742.214,3735129.898,3787200.214,3838325.689
"Coal, peat and oil shale","Electricity, CHP and heat plants (ktoe)",-1217354.215,-1234830.368,-1272244.179,-1282448.142,-1303504.715,-1347231.123,-1419103.011,-1419999.213,-1439871.361,-1452353.28,-1561425.796,-1597114.931,-1634326.247,-1756432.707,-1830492.868,-1890024.537,-1995622.903,-2093773.659,-2090441.691,-2054232.967,-2171447.102,-2291805.447,-2324472.546,-2405049.633,-2392146.049,-2328747.3,-2314448.824,-2375005.875,-2459086.524
"Coal, peat and oil shale","Oil refineries, transformation (ktoe)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coal, peat and oil shale",Total final consumption (ktoe),751739.4849,729181.1613,666686.1776,658457.4096,639739.7677,660319.5166,607754.1315,608425.5174,588633.7689,540207.1264,541690.9312,551771.6467,562390.373,616507.1803,714747.2404,825410.0265,871242.5629,915904.1766,962563.9478,989123.1792,1058478.58,1109172.159,1120399.402,1106623.319,1113553.971,1097260.719,1052531.702,1017425.45,994497.4828
"Coal, peat and oil shale",Industry (ktoe),456462.1919,448603.3506,432920.1831,430534.2053,434063.8727,463123.6915,440493.1592,433217.9929,441328.0991,395038.9342,399555.4367,408857.9916,415954.2576,461025.4213,548076.3488,652641.3757,691901.5572,737493.507,770723.8884,796387.2447,867086.7912,919808.496,916929.5917,899701.0792,906156.4088,888001.1913,840341.0239,812748.2638,796791.6038
"Coal, peat and oil shale",Transport (ktoe),9388.846,8323.5253,7098.9276,5622.3598,4001.3471,3234.5958,2740.5772,1906.8984,1431.1074,1038.8935,613.0802,320.3827,156.5786,114.9033,196.2398,262.0732,225.4888,294.9916,289.1082,283.0405,187.4494,235.7641,193.9049,102.2567,77.6608,54.771,80.3978,126.1338,52.686
"Coal, peat and oil shale",Residential (ktoe),153007.2042,145089.529,131258.3202,129124.7358,113459.5716,113547.3285,90627.7508,101179.6147,80445.7187,78596.0233,77006.6268,76626.669,73987.5937,74840.4617,79360.3626,78494.7841,81076.3742,78190.8383,77703.3043,76694.2639,76963.5899,76624.6414,77546.1252,75646.4516,75216.2378,74955.7658,75589.115,77388.6727,74877.4947
"Coal, peat and oil shale",Commercial and public services (ktoe),51535.3697,50235.8994,29799.1131,24071.5002,22167.355,21003.8527,27082.4303,21149.3137,19067.9177,19018.5213,15471.9571,16234.5022,18861.2412,20631.2416,22686.3692,25299.9704,26128.1677,27507.3194,33448.4495,34145.0183,32492.4248,34057.4185,35747.3391,35624.2262,34086.453,34777.5729,34293.169,33330.4314,30264.7276
